ZIP CODE ,AREA NAME,IS LOS ANGELES,Early Childhood Education,Health Education,Substance Abuse Programs,Mental Health Programs,Adult Eduction Programs,Public Child Care,Housing Community Investment,Museum and Aquarium,Number Of Highschools,Number Of Students,Number Of Dropouts,Percent Drop Out,Health Clinics,Public Health Programs,Mental Health Centers,Safe Havens,Domestic Violence Services,Mental Health Counceling,LA City Events,Unemployment Rate,Teen Pregnancy Rate,Animal Parks,Aquatic,Fitness Center,Nature_Trails,Parks_Recreation,Senior_Centers,Property.Crime,Violent.Crime,Other,Property.Crime.STD,Violent.Crime.STD,Other.Crime.STD,Housing Permits,Commercial Permits,Other Permits
90070,Los Angeles ,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
90071,ARCO Towers  ,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,167,,,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,8,1701,22
90072,Los Angeles ,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
90075,Los Angeles ,1,5,1,4,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,32.8,,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
90076,Los Angeles ,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,32.8,,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
90077,Bel Air Estates & Beverly Glen  ,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4.8,0,0,0,0,0,3,0,28,7,5,-0.464736568,-0.424483507,-0.430936155,2191,88,6
90078,Los Angeles ,1,2,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
90079,Los Angeles ,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
90080,Airport Worldway  ,1,0,2,1,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
90081,Los Angeles ,1,2,0,0,4,2,1,0,0,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
90082,Los Angeles ,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
90083,Los Angeles ,1,4,0,3,1,1,2,0,0,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
90086,Los Angeles ,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
90087,Los Angeles ,1,4,0,0,0,0,2,0,0,0,0,0,,0,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
90089,USC  ,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,1,0,0,1,0,31,0,0,0,0,0,0,0,104,11,5,-0.414384412,-0.419118839,-0.430936155,16,730,28
