,Row.names,Health,Community.Wellness,ZIP.CODES,AREA.NAME,IS.LOS.ANGELES,Early.Childhood.Education,Health.Education,Substance.Abuse.Programs,Mental.Health.Programs,Adult.Eduction.Programs,Public.Child.Care,Housing.Community.Investment,Museum.and.Aquarium,Number.Of.Highschools,Number.Of.Students,Number.Of.Dropouts,Percent.Drop.Out,Health.Clinics,Public.Health.Programs,Mental.Health.Centers,Safe.Havens,Domestic.Violence.Services,Mental.Health.Counceling,LA.City.Events,Unemployment.Rate,Teen.Pregnancy.Rate,Animal.Parks,Aquatic,Fitness.Center,Nature_Trails,Parks_Recreation,Senior_Centers,Property.Crime,Violent.Crime,Other,Property.Crime.STD,Violent.Crime.STD,Other.Crime.STD,Housing.Permits,Commercial.Permits,Other.Permits
42,47,1.512263697,-0.291489911,91405,Van Nuys  ,1,0,0,0,0,0,0,0,0,4,2562,707.72,0.276237315,2,3,12,1,2,4,3,10.7,0.021399653,0,0,0,0,8,0,126,53,15,-0.399808788,-0.362789834,-0.369179644,2490,504,55
43,48,-0.126282911,-0.185684576,91406,Van Nuys  ,1,0,0,0,0,0,0,0,0,1,957,612.48,0.64,0,2,4,2,0,3,6,9,0.015321155,1,0,0,1,4,0,441,122,56,-0.191112351,-0.270249326,-0.11597795,3088,892,55
44,49,-0.357220737,-0.018722363,91411,Van Nuys  ,1,0,0,0,0,0,0,0,0,1,582,0,0,1,0,8,0,0,1,1,11.2,0,0,0,0,0,3,0,876,347,121,0.097087491,0.031513202,0.285439369,1281,437,33
45,5,2.933451917,0.170656269,90015,Downtown Los Angeles  ,1,0,0,0,0,0,0,0,0,2,1690,868.4,0.513846154,5,3,8,2,1,6,173,9.2,0.015132409,0,0,1,0,2,0,3302,1780,267,1.70438132,1.953405212,1.187084425,588,1952,298
46,50,-1.163106753,-0.069887404,91423,Sherman Oaks /Van Nuys  ,1,0,0,0,0,0,0,0,0,1,871,243.88,0.28,0,0,0,0,1,1,30,8.2,0,0,1,1,1,4,1,528,76,33,-0.133472382,-0.331942998,-0.258017925,3022,750,64
47,51,-1.100875665,-0.170984427,91604,North Hollywood /Studio City  ,1,13,1,1,0,0,0,0,0,3,2633,662.73,0.251701481,0,0,0,1,0,2,58,10.1,0,0,0,2,0,7,0,804,134,54,0.049385448,-0.254155324,-0.128329252,3594,588,70
48,52,-0.341292415,-0.266377724,91605,North Hollywood ,1,0,0,0,0,0,0,0,0,4,1522,324.72,0.213350854,1,1,0,1,0,2,14,10,0.038906414,0,0,0,0,6,0,1679,589,155,0.629097773,0.356075565,0.495411505,2391,708,41
49,53,-0.23287104,-0.221326242,91606,North Hollywood ,1,3,2,2,0,0,2,0,0,6,2248,818.03,0.363892349,1,0,8,0,2,3,2,9.8,0.031372549,0,1,1,0,9,0,962,336,112,0.154064931,0.016760367,0.22985851,2244,353,62
50,6,-0.210754687,0.53710122,90016,West Adams  ,1,1,0,0,0,0,0,0,0,1,396,0,0,1,1,0,1,1,1,420,9.4,0.020485584,0,1,2,0,15,1,3651,1968,344,1.935603721,2.205544569,1.662609557,2998,668,55
51,7,0.127170098,0.010187206,90017,Downtown Los Angeles  ,1,0,0,0,0,0,0,0,0,7,7198,2161.29,0.300262573,2,0,7,1,3,2,4,7,0.041717791,0,1,0,0,0,0,577,392,52,-0.101008492,0.091865708,-0.140680554,439,3669,118
52,8,0.151216341,-0.254924797,90018,Jefferson Park  ,1,3,0,1,0,0,1,0,0,1,797,422.41,0.53,1,2,3,2,2,2,55,11.6,0.028968014,0,0,1,0,10,1,20,3,0,-0.470036795,-0.429848174,-0.46181441,2388,334,32
53,9,-0.105131122,-0.179411912,90019,Country Club Park /Mid City  ,1,0,0,0,0,0,0,0,0,1,1527,244.32,0.16,2,0,1,0,2,3,122,8.7,0.038885665,0,1,0,0,5,0,669,256,64,-0.040055882,-0.090532976,-0.066572742,3900,642,51
